created_at,entry_id,field1,latitude,longitude,elevation,status
2019-09-22 15:18:34 BST,1,21.54297,,,,
2019-09-22 15:19:05 BST,2,27.98828,,,,
2019-09-22 15:19:35 BST,3,27.66601,,,,
2019-09-22 15:20:05 BST,4,27.66601,,,,
2019-09-22 15:20:36 BST,5,27.66601,,,,
2019-09-22 15:21:06 BST,6,27.98828,,,,
2019-09-22 15:21:37 BST,7,27.66601,,,,
2019-09-22 15:22:07 BST,8,27.66601,,,,
2019-09-22 15:22:37 BST,9,27.66601,,,,
2019-09-22 15:23:07 BST,10,27.98828,,,,
2019-09-22 15:23:38 BST,11,27.66601,,,,
2019-09-22 15:24:08 BST,12,27.66601,,,,
2019-09-22 15:24:39 BST,13,27.66601,,,,
2019-09-22 15:25:09 BST,14,28.31055,,,,
2019-09-22 15:25:39 BST,15,27.66601,,,,
2019-09-22 15:26:10 BST,16,27.66601,,,,
2019-09-22 15:26:40 BST,17,27.66601,,,,
2019-09-22 15:27:10 BST,18,27.66601,,,,
2019-09-22 15:27:41 BST,19,27.98828,,,,
2019-09-22 15:28:11 BST,20,27.98828,,,,
2019-09-22 15:28:41 BST,21,27.98828,,,,
2019-09-22 15:29:11 BST,22,27.66601,,,,
2019-09-22 15:29:42 BST,23,27.98828,,,,
2019-09-22 15:30:12 BST,24,27.98828,,,,
2019-09-22 15:48:41 BST,25,68.16406,,,,
2019-09-22 15:49:11 BST,26,67.67578,,,,
2019-09-22 15:49:42 BST,27,77.44141,,,,
2019-09-22 15:50:12 BST,28,70.11719,,,,
2019-09-22 15:50:43 BST,29,69.14062,,,,
2019-09-22 16:00:16 BST,30,30.24414,,,,
2019-09-22 16:00:46 BST,31,28.95508,,,,
2019-09-22 16:01:17 BST,32,28.95508,,,,
2019-09-22 16:01:47 BST,33,28.63281,,,,
2019-09-22 16:02:17 BST,34,28.31055,,,,
2019-09-22 16:02:48 BST,35,28.95508,,,,
2019-09-22 16:03:18 BST,36,28.63281,,,,
2019-09-22 16:03:48 BST,37,28.31055,,,,
2019-09-22 16:04:19 BST,38,28.95508,,,,
2019-09-22 16:04:49 BST,39,28.95508,,,,
2019-09-22 16:05:19 BST,40,27.98828,,,,
2019-09-22 16:05:50 BST,41,28.31055,,,,
2019-09-22 16:06:20 BST,42,28.63281,,,,
2019-09-22 16:06:50 BST,43,28.63281,,,,
2019-09-22 16:07:21 BST,44,28.31055,,,,
2019-09-22 16:07:51 BST,45,28.63281,,,,
2019-09-22 16:08:21 BST,46,28.31055,,,,
2019-09-22 16:08:51 BST,47,28.95508,,,,
2019-09-22 16:09:22 BST,48,28.63281,,,,
2019-09-22 16:09:52 BST,49,28.63281,,,,
2019-09-22 16:10:22 BST,50,28.95508,,,,
2019-09-22 16:10:53 BST,51,28.31055,,,,
2019-09-22 16:11:23 BST,52,28.31055,,,,
2019-09-22 16:11:53 BST,53,28.63281,,,,
2019-09-22 16:12:24 BST,54,28.63281,,,,
2019-09-22 16:12:54 BST,55,28.63281,,,,
2019-09-22 16:13:24 BST,56,28.95508,,,,
2019-09-22 16:13:54 BST,57,28.63281,,,,
2019-09-22 16:15:48 BST,58,28.95508,,,,
2019-09-22 16:16:18 BST,59,28.63281,,,,
2019-09-22 16:16:49 BST,60,28.95508,,,,
2019-09-22 16:17:19 BST,61,28.63281,,,,
2019-09-22 16:17:49 BST,62,28.63281,,,,
2019-09-22 16:18:20 BST,63,28.63281,,,,
2019-09-22 16:18:50 BST,64,28.63281,,,,
2019-09-22 16:19:20 BST,65,28.31055,,,,
2019-09-22 16:19:51 BST,66,28.63281,,,,
2019-09-22 16:20:21 BST,67,28.63281,,,,
2019-09-22 16:20:51 BST,68,28.31055,,,,
2019-09-22 16:21:22 BST,69,28.63281,,,,
2019-09-22 16:21:52 BST,70,28.31055,,,,
2019-09-22 16:22:23 BST,71,28.31055,,,,
2019-09-22 16:22:53 BST,72,28.95508,,,,
2019-09-22 16:23:23 BST,73,28.95508,,,,
2019-09-22 16:23:54 BST,74,28.31055,,,,
2019-09-22 16:24:24 BST,75,28.31055,,,,
2019-09-22 16:24:54 BST,76,28.31055,,,,
2019-09-22 16:25:25 BST,77,28.31055,,,,
2019-09-22 16:25:55 BST,78,28.31055,,,,
2019-09-22 16:26:25 BST,79,28.63281,,,,
2019-09-22 16:26:56 BST,80,28.31055,,,,
2019-09-22 16:27:26 BST,81,28.31055,,,,
2019-09-22 16:27:56 BST,82,27.98828,,,,
2019-09-22 16:28:27 BST,83,28.63281,,,,
2019-09-22 16:28:57 BST,84,27.98828,,,,
2019-09-22 16:29:28 BST,85,28.63281,,,,
2019-09-22 16:29:58 BST,86,28.31055,,,,
2019-09-22 16:30:28 BST,87,28.31055,,,,
2019-09-22 16:30:59 BST,88,28.63281,,,,
2019-09-22 16:31:29 BST,89,28.31055,,,,
2019-09-22 16:31:59 BST,90,28.31055,,,,
2019-09-22 16:32:30 BST,91,28.31055,,,,
2019-09-22 16:33:00 BST,92,28.31055,,,,
2019-09-22 16:33:30 BST,93,28.63281,,,,
2019-09-22 16:34:01 BST,94,28.31055,,,,
2019-09-22 16:34:31 BST,95,28.31055,,,,
2019-09-22 16:35:01 BST,96,27.98828,,,,
2019-09-22 16:35:32 BST,97,28.31055,,,,
2019-09-22 16:36:02 BST,98,27.98828,,,,
2019-09-22 16:36:33 BST,99,28.63281,,,,
2019-09-22 16:37:03 BST,100,28.63281,,,,
2019-09-22 16:37:33 BST,101,28.31055,,,,
2019-09-22 16:38:04 BST,102,28.31055,,,,
2019-09-22 16:38:34 BST,103,28.31055,,,,
2019-09-22 16:39:04 BST,104,28.31055,,,,
2019-09-22 16:39:35 BST,105,28.31055,,,,
2019-09-22 16:40:05 BST,106,28.31055,,,,
2019-09-22 16:40:35 BST,107,28.31055,,,,
2019-09-22 16:41:06 BST,108,28.31055,,,,
2019-09-22 16:41:36 BST,109,28.31055,,,,
2019-09-22 16:42:06 BST,110,28.31055,,,,
2019-09-22 16:42:37 BST,111,28.31055,,,,
2019-09-22 16:43:07 BST,112,28.31055,,,,
2019-09-22 16:43:38 BST,113,28.31055,,,,
2019-09-22 16:44:08 BST,114,27.98828,,,,
2019-09-22 16:44:38 BST,115,28.31055,,,,
2019-09-22 16:45:09 BST,116,28.31055,,,,
2019-09-22 16:45:39 BST,117,28.31055,,,,
2019-09-22 16:46:09 BST,118,27.98828,,,,
2019-09-22 16:46:40 BST,119,28.31055,,,,
2019-09-22 16:47:10 BST,120,27.98828,,,,
2019-09-22 16:47:40 BST,121,27.98828,,,,
2019-09-22 16:48:11 BST,122,28.31055,,,,
2019-09-22 16:48:41 BST,123,28.63281,,,,
2019-09-22 16:49:11 BST,124,27.98828,,,,
2019-09-22 16:49:42 BST,125,28.31055,,,,
2019-09-22 16:50:12 BST,126,28.31055,,,,
2019-09-22 16:50:43 BST,127,28.31055,,,,
2019-09-22 16:51:13 BST,128,27.98828,,,,
2019-09-22 16:51:43 BST,129,28.31055,,,,
2019-09-22 16:52:14 BST,130,28.63281,,,,
2019-09-22 16:52:44 BST,131,28.31055,,,,
2019-09-22 16:53:14 BST,132,28.31055,,,,
2019-09-22 16:53:45 BST,133,28.31055,,,,
2019-09-22 16:54:15 BST,134,27.98828,,,,
2019-09-22 16:54:45 BST,135,28.31055,,,,
2019-09-22 16:55:16 BST,136,28.31055,,,,
2019-09-22 16:55:46 BST,137,27.98828,,,,
2019-09-22 16:56:16 BST,138,28.31055,,,,
2019-09-22 16:56:47 BST,139,28.31055,,,,
2019-09-22 16:57:17 BST,140,28.63281,,,,
2019-09-22 16:57:48 BST,141,28.31055,,,,
2019-09-22 16:58:18 BST,142,27.98828,,,,
2019-09-22 16:58:48 BST,143,28.31055,,,,
2019-09-22 16:59:19 BST,144,27.98828,,,,
2019-09-22 16:59:49 BST,145,27.98828,,,,
2019-09-22 17:00:19 BST,146,28.31055,,,,
2019-09-22 17:00:50 BST,147,28.31055,,,,
2019-09-22 17:01:20 BST,148,27.98828,,,,
2019-09-22 17:01:50 BST,149,28.31055,,,,
2019-09-22 17:02:21 BST,150,28.31055,,,,
2019-09-22 17:02:51 BST,151,28.31055,,,,
2019-09-22 17:03:21 BST,152,28.31055,,,,
2019-09-22 17:03:52 BST,153,28.31055,,,,
2019-09-22 17:04:22 BST,154,28.31055,,,,
2019-09-22 17:04:52 BST,155,28.31055,,,,
2019-09-22 17:05:23 BST,156,28.31055,,,,
2019-09-22 17:05:53 BST,157,28.63281,,,,
2019-09-22 17:06:23 BST,158,28.63281,,,,
